Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Sugar Shack,Sugar Shack,United States of America,California,Los Angeles,http://www.twitter.com/sugarshack,21 September 2001,active,2452173.5,
Kiberpipa,Kiberpipa,Slovenia,,Ljubljana,http://www.kiberpipa.org/,1 October 2001,reformatting,2452183.5,
CITEC,CITEC,Thailand,Bangkok,Bangkok,https://www.facebook.com/CITEC.Evolution,10 October 2001,planned,2452192.5,
Downgrade hackerspace,Downgrade hackerspace,Spain,Zaragoza,Zaragoza,http://downgrade.hacklabs.org,17 October 2001,closed,2452199.5,
LUG Saar,LUG Saar,Germany,Saarland,Saarlouis,http://lug-saar.de/,21 February 2002,active,2452326.5,
HZV,HZV,France,Seine Saint Denis,Saint Ouen,https://www.hackerzvoice.net,10 April 2002,active,2452374.5,
Bucketworks,Bucketworks,United States of America,Wisconsin,Milwaukee,http://bucketworks.org,20 May 2002,active,2452414.5,
Verdebinario,Verdebinario,Italy,Calabria,Cosenza,http://www.verdebinario.org,19 December 2002,active,2452627.5,
Cyberdelia,Cyberdelia,Sweden,SE,STUREPLAN,,14 January 2003,closed,2452653.5,
Chaostreff Dortmund,Chaostreff Dortmund,Germany,North Rhine-Westphalia,Dortmund,https://www.chaostreff-dortmund.de/,February 2003,active,2452671.5,
Hasty Pastry,Hasty Pastry,United States of America,Massachusetts,Cambridge,http://www.hastypastry.net,10 February 2003,active,2452680.5,
Centre for Electronics Design and Technology,Centre for Electronics Design and Technology,India,Delhi,New Delhi,http://www.cedtnsit.in,1 August 2003,active,2452852.5,
CCC Mainz,CCC Mainz,Germany,Hessen,Wiesbaden,https://www.cccmz.de/,23 October 2003,active,2452935.5,
Hackers Lounge,Hackers Lounge,Germany,Berlin,Berlin,http://sama32.squat.net/,14 November 2003,active,2452957.5,
NIMBY,NIMBY,United States of America,California,Oakland,http://www.nimbyspace.org,1 April 2004,active,2453096.5,
Subraum,Subraum,Germany,Nordrhein-Westfalen,Paderborn,http://www.c3pb.de/,19 May 2004,active,2453144.5,
