Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Hack.aiken.sc,Hack.aiken.sc,United States of America,South Carolina,North Augusta,http://hack.aiken.sc,1 March 2010,unknown,2455256.5,
GOYS MakerSpace,GOYS MakerSpace,Bahrain,Umm Alhasam,Manama,,1 March 2010,active,2455256.5,
Attraktor,Attraktor,Germany,Hamburg,Hamburg,http://www.attraktor.org,1 March 2010,active,2455256.5,
IExploit,IExploit,United Kingdom,Portsmouth,Southampton,http://www.iexploit.org,1 March 2010,active,2455256.5,
Close Quarters,Close Quarters,United States of America,Rhode Island,Pawtucket,http://www.closequarters.org/,3 March 2010,active,2455258.5,
Sector67,Sector67,United States of America,Wisconsin,Madison,http://sector67.org,10 March 2010,active,2455265.5,
SinCitySlackers,SinCitySlackers,United States of America,Nevada,Las Vegas,,10 March 2010,planned,2455265.5,
Tweak Labs,Tweak Labs,United States of America,Alabama,Florence,http://tweaklabs.org,16 March 2010,building,2455271.5,
The Soldered Resistor,The Soldered Resistor,United States of America,Rhode Island,Pawtucket,,17 March 2010,active,2455272.5,
GammaLab,GammaLab,United States of America,Indiana,Indianapolis,http://www.gamma-lab.org,24 March 2010,planned,2455279.5,
The Cove,The Cove,United States of America,Indiana,Indianapolis,http://www.the-cove.org,24 March 2010,planned,2455279.5,
NLON Labs,NLON Labs,United States of America,Connecticut,New London,http://www.nlonlabs.org,27 March 2010,closed,2455282.5,
Vancouver Community Lab,Vancouver Community Lab,Canada,British Columbia (Unceded Coast Salish Land),Vancouver,http://www.vancommunitylab.com,1 April 2010,active,2455287.5,
Nerd-Cafe,Nerd-Cafe,Germany,Berlin,Berlin,http://nerd-cafe.org,1 April 2010,active,2455287.5,
Hackerspace@tamabi,Hackerspace@tamabi,Japan,Tokyo,Tokyo,http://dp.idd.tamabi.ac.jp/hackerspace/,1 April 2010,active,2455287.5,
BAH,BAH,Argentina,Buenos Aires,Buenos Aires,http://www.hackerspace.com.ar,1 April 2010,active,2455287.5,
Chaos-treff-wismar,Chaos-treff-wismar,Germany,Mecklenburg-Vorpommern,Wismar,,7 April 2010,planned,2455293.5,
Sk1llz Almere,Sk1llz Almere,Netherlands,,Almere,http://www.sk1llz.nl,10 April 2010,active,2455296.5,
Open Design City,Open Design City,Germany,,Berlin,http://opendesigncity.de,12 April 2010,active,2455298.5,
PILARKTO.ORG - Open Laboratory e.V.,PILARKTO.ORG - Open Laboratory e.V.,Germany,Baden-Württemberg,Stuttgart,http://www.open-laboratory.de,12 April 2010,active,2455298.5,
Hakkavélin(The Mincer),Hakkavélin(The Mincer),Iceland,,Reykjavik,http://www.hakkavelin.is,13 April 2010,active,2455299.5,
Hackers Bike Ride Los Angeles,Hackers Bike Ride Los Angeles,United States of America,California,Los Angeles,http://machina.la,15 April 2010,,2455301.5,
TESLA,TESLA,United States of America,Massachusetts,Worcester,http://teslaract.org,16 April 2010,,2455302.5,
Svarta Hammarby,Svarta Hammarby,Sweden,,Johanneshov,,20 April 2010,closed,2455306.5,
MusicTechSW,MusicTechSW,United Kingdom,Cornwall,Mullion,http://groups.google.com/group/sound-tech-group,20 April 2010,planned,2455306.5,
FNordeingang Neuss,FNordeingang Neuss,Germany,North Rhine-Westphalia,Neuss,https://fnordeingang.de,21 April 2010,active,2455307.5,
The Binary Project,The Binary Project,Germany,Nordrhein-Westfalen,Luedenscheid,http://tbp-labs.org/,23 April 2010,planned,2455309.5,
Bathurst Hackerspace,Bathurst Hackerspace,Canada,New Brunswick,Bathurst,,23 April 2010,closed,2455309.5,
NEOHACK,NEOHACK,United States of America,Oklahoma,Miami,http://groups.google.com/group/neohack,28 April 2010,planned,2455314.5,
Le-localhost,Le-localhost,France,Nord-Pas-de-Calais,Lille,,30 April 2010,closed,2455316.5,
Artisan's Asylum,Artisan's Asylum,United States of America,Massachusetts,Boston,http://www.artisansasylum.com,1 May 2010,active,2455317.5,
Null Space Labs,Null Space Labs,United States of America,California,Los Angeles,http://032.la,1 May 2010,active,2455317.5,
Hypernova,Hypernova,United States of America,Indiana,Crown Point,http://hypernova.vaperized.com,1 May 2010,planned,2455317.5,
Potteries,Potteries,United Kingdom,Staffordshire,Stoke-On-Trent,http://potterieshackspace.org/,5 May 2010,active,2455321.5,
Tel Aviv Makers Intl.,Tel Aviv Makers Intl.,Israel,,Tel Aviv,http://telavivmakers.org/,8 May 2010,active,2455324.5,
Tangleball,Tangleball,New Zealand,Auckland,Auckland,http://tangleball.org.nz/,15 May 2010,active,2455331.5,
Iron Tribe,Iron Tribe,United States of America,New York,White Plains,http://betatwolabs.com/,18 May 2010,active,2455334.5,
Irontribe,Irontribe,United States of America,New York,White Plains,http://www.irontribe.us,18 May 2010,building,2455334.5,
"MakerSpace (Newcastle, UK)","MakerSpace (Newcastle, UK)",United Kingdom,Tyne and Wear,Newcastle upon Tyne,http://www.makerspace.org.uk,18 May 2010,active,2455334.5,
Wolfplex Hackerspace,Wolfplex Hackerspace,Belgium,Hainaut,Charleroi,http://www.wolfplex.be,20 May 2010,building,2455336.5,
Hack502,Hack502,United States of America,Alabama,Athens,,22 May 2010,planned,2455338.5,
Chaostreff Basel,Chaostreff Basel,Switzerland,Basel-Stadt,Basel,http://www.chaostreff.ch,23 May 2010,building,2455339.5,
Ace Monster Toys,Ace Monster Toys,United States of America,California,Oakland,http://acemonstertoys.org/,24 May 2010,active,2455340.5,
Mission Control,Mission Control,United States of America,Florida,Pensacola,http://eccmakers.com/,25 May 2010,planned,2455341.5,
Hackerspace Townsville,Hackerspace Townsville,Australia,Queensland,Townsville,,27 May 2010,active,2455343.5,
Project Hydra,Project Hydra,United States of America,California,San Jose,,28 May 2010,building,2455344.5,
GIST Lab,GIST Lab,United Kingdom,South Yorkshire,Sheffield,http://thegisthub.net,31 May 2010,active,2455347.5,anterior
NESIT,NESIT,United States of America,Connecticut,Meriden,http://www.nesit.org,1 June 2010,active,2455348.5,próximo
Seeqnce,Seeqnce,Lebanon,Beirut,Beirut,http://seeqnce.com/,1 June 2010,active,2455348.5,
Hackerspace Cholula,Hackerspace Cholula,Mexico,Puebla,Cholula,http://hackerspacecholula.org,1 June 2010,active,2455348.5,
Open Space Aarhus,Open Space Aarhus,Denmark,,Aarhus,http://osaa.dk,1 June 2010,active,2455348.5,
Groningen's Hackerspace,Groningen's Hackerspace,Netherlands,Groningen,Groningen,http://www.hackerspace-groningen.nl,1 June 2010,,2455348.5,
Progressbar,Progressbar,Slovakia,Bratislava,Bratislava,https://www.progressbar.sk,1 June 2010,active,2455348.5,
DingFabrik Köln,DingFabrik Köln,Germany,North Rhine-Westphalia,Cologne,http://www.dingfabrik.de,3 June 2010,active,2455350.5,
G.O.W.,G.O.W.,MALAYSIA,KUALA LUMPUR,SUNGAI BESI,,11 June 2010,planned,2455358.5,
Kikidan,Kikidan,Malaysia,Kuala lampur,Sungai besi,,11 June 2010,planned,2455358.5,
Blind Security Uganda,Blind Security Uganda,Uganda,Kampala,Kampala,http://www.Blindsecurity.org,12 June 2010,active,2455359.5,
CCCCCCC,CCCCCCC,United States of America,Georgia,Atlanta,,15 June 2010,closed,2455362.5,
Brmlab,Brmlab,Czech Republic,,Prague,https://brmlab.cz/,22 June 2010,active,2455369.5,
Sparvnästet,Sparvnästet,Sweden,Stockholm,Stockholm,http://sparvnastet.org,23 June 2010,closed,2455370.5,
OlyMEGA,OlyMEGA,United States of America,Washington,Olympia,http://olymega.org/,26 June 2010,active,2455373.5,
FabLab Munich,FabLab Munich,Germany,Bavaria,Munich,http://www.fablab-muenchen.de/,29 June 2010,active,2455376.5,
Chaostreff Chemnitz,Chaostreff Chemnitz,Germany,Saxony,Chemnitz,https://www.chaoschemnitz.de/,1 July 2010,active,2455378.5,
Bloominglabs,Bloominglabs,United States of America,Indiana,Bloomington,http://www.bloominglabs.org,1 July 2010,active,2455378.5,
SYN Shop,SYN Shop,United States of America,Nevada,Las Vegas,https://synshop.org,1 July 2010,active,2455378.5,
Nexus Cork,Nexus Cork,Ireland,Munster,Cork,http://nexuscork.com,1 July 2010,active,2455378.5,
Co-lab(x),Co-lab(x),New Zealand,,Wellington,http://co-lab181.co.nz/,1 July 2010,active,2455378.5,
Aiki lab,Aiki lab,Syria,Damascus,Damascus,http://web.archive.org/web/20120316092438/http://aikilab.org/,1 July 2010,active,2455378.5,
Laboratoire Ouvert Grenoblois,Laboratoire Ouvert Grenoblois,France,Auvergne-Rhône-Alpes,Grenoble,https://logre.eu,2 July 2010,active,2455379.5,
Arduino-brasilia,Arduino-brasilia,Brazil,DF,Brasilia,http://groups.google.com/group/arduino-brasilia,10 July 2010,planned,2455387.5,
Geekubator,Geekubator,Sweden,Halland,Halmstad,http://www.geekubator.org,12 July 2010,building,2455389.5,
Nbash,Nbash,YEMEN,,TAIZ,http://nbash.makesboyscrazy.com/,12 July 2010,active,2455389.5,
The Brain Tank,The Brain Tank,United States of America,Rhode Island,Providence,http://www.TheBrainTank.org,12 July 2010,building,2455389.5,
Gold Coast TechSpace,Gold Coast TechSpace,Australia,Queensland,"Mudgeeraba, Gold Coast",http://gctechspace.org,13 July 2010,active,2455390.5,
FIXME,FIXME,Switzerland,Vaud,Renens,http://fixme.ch,13 July 2010,active,2455390.5,
UnLab,UnLab,Canada,Ontario,London,http://unlab.ca,13 July 2010,active,2455390.5,
BlinkenLab,BlinkenLab,Germany,Bavaria,Amberg,https://blinkenlab.de/,15 July 2010,active,2455392.5,
J^3,J^3,United States of America,Minnesota,Rochester,,15 July 2010,planned,2455392.5,
Base48,Base48,Czech Republic,,Brno,http://base48.cz,16 July 2010,active,2455393.5,
Xerocraft,Xerocraft,United States of America,Arizona,Tucson,http://xerocraft.org/,17 July 2010,active,2455394.5,
FBHS,FBHS,United States of America,Florida,Fernandina Beach,http://groups.google.com/group/fbhs,19 July 2010,planned,2455396.5,
Quelab,Quelab,United States of America,New Mexico,Albuquerque,http://www.quelab.net,22 July 2010,active,2455399.5,
QueLab,QueLab,United States of America,New Mexico,Albuquerque,http://www.quelab.net,22 July 2010,active,2455399.5,
JáquerEspeis,JáquerEspeis,Costa Rica,San José,Curridabat,http://jaquerespeis.org/,23 July 2010,planned,2455400.5,
Electrolab,Electrolab,France,Ile de France,Nanterre,http://www.electrolab.fr,26 July 2010,active,2455403.5,
Hacker Room,Hacker Room,Mexico,DF,Mexico City,http://hackerroom.mx,30 July 2010,active,2455407.5,
Planraum makerspace,Planraum makerspace,Germany,Bavaria,Ratisbon,http://planraum.org/,1 August 2010,active,2455409.5,
HackerGom,HackerGom,Hungary,"Komarom-Esztergom, Hungary, Europe",Esztergom,,1 August 2010,planned,2455409.5,
Hackerspace Toledo,Hackerspace Toledo,United States of America,Ohio,Toledo,http://sites.google.com/site/hackerspacetoledo/,1 August 2010,closed,2455409.5,
TechShop Detroit,TechShop Detroit,United States of America,Michigan,Dearborn,http://www.techshop.ws/,1 August 2010,active,2455409.5,
Neucleon,Neucleon,United States of America,California,San Diego,http://www.Neucleon.org,1 August 2010,active,2455409.5,
Dadabit,Dadabit,Turkey,,Istanbul,http://www.dadabit.com,1 August 2010,planned,2455409.5,
SB Hackerspace,SB Hackerspace,United States of America,California,Santa Barbara,http://sbhackerspace.com,2 August 2010,active,2455410.5,
Appletonmakerspace,Appletonmakerspace,United States of America,Wisconsin,Appleton,http://appletonmakerspace.org/,2 August 2010,active,2455410.5,
KnoxMakers,KnoxMakers,United States of America,Tennessee,Knoxville,http://knoxmakers.org/,3 August 2010,active,2455411.5,
10BitWorks,10BitWorks,United States of America,Texas,San Antonio,http://www.10bitworks.com/,15 August 2010,active,2455423.5,
Make Salt Lake,Make Salt Lake,United States of America,Utah,Salt Lake City,http://www.makesaltlake.org,15 August 2010,active,2455423.5,
BroBrian Hackerspace,BroBrian Hackerspace,United States of America,Massachusetts,Amherst,,15 August 2010,building,2455423.5,
HACKingston,HACKingston,Canada,Ontario,Kingston,http://hackingston.wordpress.com/,18 August 2010,active,2455426.5,
Hackerspace Ffm e.V.,Hackerspace Ffm e.V.,Germany,Hessen,Oberursel,http://hackerspace-ffm.de,20 August 2010,active,2455428.5,
Srg,Srg,MALAYSIA,PULAU PINANG,MINDEN,,21 August 2010,planned,2455429.5,
Edinburgh Hacklab,Edinburgh Hacklab,United Kingdom,Scotland,Edinburgh,http://www.edinburghhacklab.com/,24 August 2010,active,2455432.5,
ACKspace,ACKspace,Netherlands,Limburg,Heerlen,https://ackspace.nl/,27 August 2010,active,2455435.5,
CMKT 4,CMKT 4,United States of America,Illinois,DeKalb,https://sites.google.com/site/cmktfour/home,28 August 2010,active,2455436.5,
Garoa Hacker Clube,Garoa Hacker Clube,Brazil,,São Paulo,http://garoa.net.br,28 August 2010,active,2455436.5,
DARC,DARC,United States of America,Arizona,Phoenix,http://thedarc.org,28 August 2010,planned,2455436.5,
Dot.com,Dot.com,Réunion,,Saint Denis,http://inklabs.objectis.net/,30 August 2010,building,2455438.5,
Omaha Maker Group,Omaha Maker Group,United States of America,Nebraska,Omaha,http://www.omahamakergroup.org/,31 August 2010,active,2455439.5,
Splat Space,Splat Space,United States of America,North Carolina,Durham,http://splatspace.org,1 September 2010,active,2455440.5,
ReCode Hackspace,ReCode Hackspace,United States of America,Oregon,Pendleton,https://www.facebook.com/group.php?gid=114415871948346,1 September 2010,active,2455440.5,
Pirateship,Pirateship,United States of America,Massachusetts,Somerville,http://p.irateship.com/,1 September 2010,closed,2455440.5,
Montana Ethical Hackers,Montana Ethical Hackers,United States of America,Montana,Helena,http://mthackers.com,1 September 2010,active,2455440.5,
TkkrLab,TkkrLab,Netherlands,Overijssel,Enschede,https://www.tkkrlab.nl,1 September 2010,active,2455440.5,
North Street Labs,North Street Labs,United States of America,Virginia,Portsmouth,http://www.Northstreetlabs.org,2 September 2010,active,2455441.5,
Glasgow Hackspace,Glasgow Hackspace,United Kingdom,Scotland,Glasgow,,2 September 2010,closed,2455441.5,
Ventureforge,Ventureforge,United States of America,Michigan,Traverse City,http://ventureforge.org/,3 September 2010,planned,2455442.5,
Victoria Makerspace,Victoria Makerspace,Canada,British Columbia,Victoria,http://victoria.makerspace.ca/,10 September 2010,active,2455449.5,
Ubqt,Ubqt,France,,Toulouse,http://ubqt.tv,12 September 2010,closed,2455451.5,
HTG,HTG,China,Guangdong,Guangzhou,,14 September 2010,planned,2455453.5,
"Maker Space (Newcastle, UK)","Maker Space (Newcastle, UK)",United Kingdom,Tyne and Wear,Newcastle,http://makerspace.org.uk,15 September 2010,active,2455454.5,
Foobar,Foobar,Germany,North Rhine-Westphalia,Essen,https://www.chaospott.de,15 September 2010,active,2455454.5,
Alpha,Alpha,Germany,Brandenburg,Potsdam,http://alpha.autodidaktikum.de,17 September 2010,active,2455456.5,
Hackspace,Hackspace,United States of America,Alabama,Mobile,,19 September 2010,planned,2455458.5,
Hackerspace.gr,Hackerspace.gr,Greece,Attica,Athens,https://www.hackerspace.gr,20 September 2010,active,2455459.5,
Hacked@mumbai,Hacked@mumbai,India,Maharashtra,Mumbai,http://www.thinklabs.in,22 September 2010,planned,2455461.5,
Deep East Texas Hackerspace,Deep East Texas Hackerspace,United States of America,Texas,Carthage,,25 September 2010,active,2455464.5,
The Faculty,The Faculty,United States of America,Idaho,Boise,,25 September 2010,planned,2455464.5,
Hackerspace Anderson/Greenville,Hackerspace Anderson/Greenville,United States of America,South Carolina,Anderson/Greenville,http://www.sidewalklabs.com,27 September 2010,planned,2455466.5,
HackEns,HackEns,France,Ile de France,Paris,http://hackens.org/,29 September 2010,active,2455468.5,
Laredo,Laredo,Philippines,,Makati,http://www.philrobotics.com,30 September 2010,active,2455469.5,
Reverse Space,Reverse Space,United States of America,Virginia,Herndon,http://reversespace.com,1 October 2010,active,2455470.5,
Fabtechspace,Fabtechspace,France,Lorraine,Nancy,,1 October 2010,closed,2455470.5,
FOSS Labs,FOSS Labs,Russian Federation,Tatarstan,Kazan,http://fosslabs.ru,1 October 2010,active,2455470.5,
IT-Syndikat,IT-Syndikat,Austria,Tyrol,Innsbruck,http://it-syndikat.org/,1 October 2010,active,2455470.5,
Northern Colorado Makerspace,Northern Colorado Makerspace,United States of America,Colorado,Fort Collins,http://groups.google.com/group/northern-colorado-makerspace,1 October 2010,planned,2455470.5,
Paradygm,Paradygm,United States of America,Arkansas,"Fort Smith, AR",http://paradygm.shyft.us,1 October 2010,active,2455470.5,
Candmike2,Candmike2,Kenya,Eastern,Nairobi,http://WWW.candmike2.blogspot.com,1 October 2010,planned,2455470.5,
Breizh Entropy,Breizh Entropy,France,Brittany,Rennes,http://breizh-entropy.org/,1 October 2010,active,2455470.5,
WesternMass Hackerspace,WesternMass Hackerspace,United States of America,Massachusetts,Indian Orchard,http://www.meetup.com/TheGeekGroupofWesternMass/,1 October 2010,active,2455470.5,
NYBI.CC,NYBI.CC,France,Lorraine,Nancy,http://nybi.cc,1 October 2010,active,2455470.5,
SideWalkLabs,SideWalkLabs,United States of America,South Carolina,Greenville/Anderson,,1 October 2010,closed,2455470.5,
Nelson Tech Club,Nelson Tech Club,Canada,British Columbia,Nelson,http://www.nelson-tech-club.info,1 October 2010,active,2455470.5,
Unallocated Space,Unallocated Space,United States of America,Maryland,Severn,http://unallocatedspace.org/,1 October 2010,active,2455470.5,
TheLab,TheLab,United States of America,California,Los Angeles,http://www.thel4b.com,1 October 2010,active,2455470.5,
Turmlabor,Turmlabor,Germany,Saxony,Dresden,http://www.turmlabor.de,1 October 2010,active,2455470.5,
Xinchejian,Xinchejian,China,Shanghai,Shanghai,http://www.xinchejian.com,1 October 2010,active,2455470.5,
Vilnius hideout,Vilnius hideout,Lithuania,,Vilnius,http://www.hackerspace.lt,3 October 2010,unknown,2455472.5,
Barrel Of Makers,Barrel Of Makers,United States of America,Delaware,Newark,http://barrelofmakers.org,3 October 2010,planned,2455472.5,
SocialGeeks,SocialGeeks,United States of America,Idaho,Twin Falls,http://www.socialgeeks.com,5 October 2010,active,2455474.5,
Hackerspace Charlotte,Hackerspace Charlotte,United States of America,North Carolina,Charlotte,http://www.hackerspacecharlotte.org/,6 October 2010,active,2455475.5,
Berks CoLab,Berks CoLab,United States of America,Pennsylvania,Reading,http://berkscolab.org,7 October 2010,planned,2455476.5,
Mooncitylabs,Mooncitylabs,United States of America,South Dakota,Sioux Falls,http://madlabindustries.com,8 October 2010,planned,2455477.5,
Hacker Space Seoul,Hacker Space Seoul,Republic of Korea,Euljiro,Seoul,http://hackerspaceseoul.com/,10 October 2010,active,2455479.5,
Qwerty,Qwerty,Netherlands,Noord-Holland,Amsterdam,,14 October 2010,,2455483.5,
SoTechie Spaces,SoTechie Spaces,United States of America,New York,New York City,http://www.sotechiespaces.com/,15 October 2010,active,2455484.5,
Varenberg's evil playground,Varenberg's evil playground,Belgium,Antwerp,Mechelen,,19 October 2010,planned,2455488.5,
Extinction,Extinction,United States of America,Oklahoma,Tulsa,http://www.borgsteamfactory.com/Hcontact.html,21 October 2010,building,2455490.5,
OMNICORPDETROIT,OMNICORPDETROIT,United States of America,Michigan,Detroit,http://omnicorpdetroit.com,1 November 2010,active,2455501.5,
SlackerSpace,SlackerSpace,United States of America,California,Pomona,,1 November 2010,building,2455501.5,
Make Lehigh Valley,Make Lehigh Valley,United States of America,Pennsylvania,Allentown,http://www.makelehighvalley.com,1 November 2010,active,2455501.5,
Fuzzlabs,Fuzzlabs,United States of America,Iowa,Iowa City,http://www.fuzzlabs.org,1 November 2010,active,2455501.5,
CCCFFM,CCCFFM,Germany,Hessen,Frankfurt,http://ccc-ffm.de,1 November 2010,active,2455501.5,
YFF,YFF,China,Beijing,Beijing,http://www.yuanfenflow.org/,1 November 2010,active,2455501.5,
Beta Two Labs,Beta Two Labs,United States of America,New York,White Plains,http://www.betatwolabs.com,1 November 2010,active,2455501.5,
MakeLV,MakeLV,United States of America,Pennsylvania,Allentown,http://www.makelehighvalley.com,1 November 2010,active,2455501.5,
PiSeC,PiSeC,Czech Republic,,Pisek,http://www.kufr.cz,1 November 2010,active,2455501.5,
Non-kinetic Warfare,Non-kinetic Warfare,United States of America,Texas,San Antonio,,2 November 2010,active,2455502.5,
FabLab,FabLab,Denmark,,Herning,http://www.fablab.nu,4 November 2010,building,2455504.5,
Hackerspace Bandung,Hackerspace Bandung,Indonesia,West Java,Bandung,,10 November 2010,building,2455510.5,
IdeaVault OPENLab,IdeaVault OPENLab,United States of America,Texas,Houston,,11 November 2010,building,2455511.5,
Racó Nòmada,Racó Nòmada,Spain,Alicante,Elche,http://www.raconomada.com,12 November 2010,active,2455512.5,
406 hackerspace,406 hackerspace,United States of America,MT,Missoula,,16 November 2010,planned,2455516.5,
High Impedance Air Gap,High Impedance Air Gap,United States of America,Michigan,Lansing,http://www.highimpedanceairgap.com/,16 November 2010,active,2455516.5,
Syracuse Innovators Guild,Syracuse Innovators Guild,United States of America,New York,Syracuse,https://sig315.org,19 November 2010,active,2455519.5,
NuclearHackerSpace,NuclearHackerSpace,United States of America,Illinois,Quincy,http://NuclearHackerSpace,21 November 2010,building,2455521.5,
Makelab Charleston,Makelab Charleston,United States of America,South Carolina,Charleston,http://www.makelabcharleston.org/,22 November 2010,active,2455522.5,
EigenLab,EigenLab,Italy,Tuscany,Pisa,https://eigenlab.org,23 November 2010,active,2455523.5,
YFF~HackerLab,YFF~HackerLab,China,Beijing,Beijing,http://www.yuanfenflow.org/,25 November 2010,building,2455525.5,
Laboratory B,Laboratory B,United States of America,Vt,Burlington,http://www.laboratoryb.org,27 November 2010,active,2455527.5,
Saskatoon TechWorks,Saskatoon TechWorks,Canada,Saskatchewan,Saskatoon,http://www.sktechworks.ca,29 November 2010,active,2455529.5,
Garage48-HUB-Tallinn,Garage48-HUB-Tallinn,Estonia,Harju,Tallinn,http://hub.garage48.org,1 December 2010,active,2455531.5,
DunedinMakerspace,DunedinMakerspace,New Zealand,Otago,Dunedin,http://www.dspace.org.nz,1 December 2010,active,2455531.5,
Reaktor23,Reaktor23,Germany,Baden-Württemberg,Waldshut-Tiengen,https://reaktor23.org,1 December 2010,active,2455531.5,
Ploenne,Ploenne,Germany,Berlin,Berlin,,1 December 2010,planned,2455531.5,
Oxford,Oxford,United Kingdom,Oxfordshire,Oxford,http://oxhack.org/,1 December 2010,active,2455531.5,
UW-W Hackathon,UW-W Hackathon,United States of America,Wisconsin,Whitewater,http://www.uwwhackathon.com,3 December 2010,planned,2455533.5,
Subterrakeo,Subterrakeo,Colombia,Antioquia,Medellin,http://subterrakeo.org,5 December 2010,closed,2455535.5,
SkullSpace,SkullSpace,Canada,Manitoba,Winnipeg,http://www.skullspace.ca/,7 December 2010,active,2455537.5,
HacKnowledge,HacKnowledge,France,,Rennes,http://www.hacknowledge.org,7 December 2010,active,2455537.5,
HackBo,HackBo,Colombia,Bogota,Bogota,http://www.hackbo.co,9 December 2010,active,2455539.5,
TBD,TBD,France,,Pau,,10 December 2010,planned,2455540.5,
Logic House Group,Logic House Group,Philippines,Rizal,Cainta,http://accessplus.com.ph/logic/,12 December 2010,closed,2455542.5,
Hackers Ouverts,Hackers Ouverts,France,Seine-Saint-Denis,Epinay sur Seine,http://www.hackersouverts.fr,14 December 2010,closed,2455544.5,
P-Space,P-Space,Greece,Achaia,Patras,http://www.p-space.gr,15 December 2010,active,2455545.5,
Lincoln Hacker League,Lincoln Hacker League,United States of America,Nebraska,Lincoln,http://www.lincolnhackerleague.org,20 December 2010,active,2455550.5,
HackerSpacePP,HackerSpacePP,Cambodia,Phnom Penh,Phnom Penh,http://www.hackerspacepp.org/,23 December 2010,active,2455553.5,
TinkerByte,TinkerByte,United States of America,California,Lake Forest,http://tinkerbyte.com,23 December 2010,planned,2455553.5,
Logic House,Logic House,Philippines,Manila,Manila,http://accessplus.com.ph/logic/,27 December 2010,active,2455557.5,
Wicklow,Wicklow,Ireland,Leinster,,,January 2011,planned,2455562.5,
ICMP Medway,ICMP Medway,United Kingdom,Kent,Chatham,http://www.icmp.org.uk/,1 January 2011,active,2455562.5,
The Imaginarium,The Imaginarium,United States of America,Florida,Gainesville,http://superimaginarium.com,1 January 2011,building,2455562.5,
ADX,ADX,United States of America,Oregon,"Portland, OR",http://www.adxportland.com,1 January 2011,active,2455562.5,
Moonlighting Delhi,Moonlighting Delhi,India,Delhi,New Delhi,http://moonlighting.in/Delhi,1 January 2011,active,2455562.5,
Saigon Hackspace,Saigon Hackspace,Vietnam,,Ho Chi Minh City,http://hackspace.vn,1 January 2011,closed,2455562.5,
Åpen sone for eksperimentell informatikk,Åpen sone for eksperimentell informatikk,Norway,,Oslo,http://sonen.ifi.uio.no/,1 January 2011,active,2455562.5,
Ohm Base,Ohm Base,Canada,Ontario,Thunder Bay,http://ohmbase.org,1 January 2011,active,2455562.5,
Warsaw Hackerspace,Warsaw Hackerspace,Poland,Mazowieckie,Warsaw,http://hackerspace.pl,1 January 2011,active,2455562.5,
Intellecta,Intellecta,Brazil,São Paulo,São Paulo,http://www.intellecta.com.br,3 January 2011,active,2455564.5,
Le Loop,Le Loop,France,Ile de France,Paris,https://leloop.org/,4 January 2011,closed,2455565.5,
"Jakarta, Indonesia","Jakarta, Indonesia",Indonesia,Jakarta,Jakarta,http://space.hackers.co.id,5 January 2011,active,2455566.5,
Hackerspace of North Eastern New York and Western New England,Hackerspace of North Eastern New York and Western New England,United States of America,New York,Albany,,5 January 2011,planned,2455566.5,
Bozeman Makerspace,Bozeman Makerspace,United States of America,Montana,Bozeman,http://bozemanmakers.org,7 January 2011,active,2455568.5,
Bozeman MakerSpace,Bozeman MakerSpace,United States of America,Montana,Bozeman,http://bozemanmakers.org,7 January 2011,active,2455568.5,
Osilab,Osilab,France,Nord-Pas-de-Calais,Lille,http://www.osilab.org,7 January 2011,active,2455568.5,
Eugene Maker Space,Eugene Maker Space,United States of America,Oregon,Eugene,http://www.eugenemakerspace.com,7 January 2011,active,2455568.5,
Air Light Time & Space,Air Light Time & Space,United States of America,Washington,Seattle,http://www.airlighttimespace.org/,9 January 2011,active,2455570.5,
Tinker Tank,Tinker Tank,United States of America,Florida,Miami,http://www.tinkertankmiami.com,10 January 2011,active,2455571.5,
Sprinter startup,Sprinter startup,Estonia,Harju,Tallinn,http://www.sprinterstartup.com,11 January 2011,active,2455572.5,
Laboratoire Ouvert Lyonnais,Laboratoire Ouvert Lyonnais,France,Auvergne-Rhône-Alpes,Lyon,http://labolyon.fr,12 January 2011,active,2455573.5,
Reno Bridgewire,Reno Bridgewire,United States of America,Nevada,Reno,http://www.bridgewire.org,13 January 2011,active,2455574.5,
Sis-afk,Sis-afk,Sweden,Blekinge,Karlskrona,http://sis.bthstudent.se/afk/,14 January 2011,active,2455575.5,
HackerHub,HackerHub,Mexico,Guanajuato,Irapuato,http://www.hackerhub.com,15 January 2011,active,2455576.5,
OHM,OHM,United States of America,Oklahoma,Oklahoma City,http://www.ohmspace.org,15 January 2011,closed,2455576.5,
Freiraum,Freiraum,Germany,Baden-Württemberg,Ulm,http://hackerspace-ulm.de,15 January 2011,active,2455576.5,
"Lawrenceville, QC","Lawrenceville, QC",Canada,Quebec,Lawrenceville,,17 January 2011,planned,2455578.5,
BajHack,BajHack,Mexico,Baja California,Ensenada,http://www.bajhack.com,18 January 2011,active,2455579.5,
HackerSpace@GZ,HackerSpace@GZ,China,Guangdong,Guangzhou,http://www.kevinsmake.com,19 January 2011,active,2455580.5,
Hackspace Montevideo,Hackspace Montevideo,Uruguay,Montevideo,Montevideo,http://www.hackspace.org.uy,20 January 2011,active,2455581.5,
Maker Bench,Maker Bench,United States of America,Arizona,Tempe,http://www.makerbench.com,21 January 2011,closed,2455582.5,
Erectorial Collage,Erectorial Collage,United States of America,California,Sacramento,,24 January 2011,closed,2455585.5,
